Measure Name,Year,Period,Value
Crime Total Number of Incidents (in 7 Crime Categories),2013,Nov,3042
Crime Total Number of Incidents (in 7 Crime Categories),2013,Dec,2533
Crime Total Number of Incidents (in 7 Crime Categories),2014,Jan,2614
Crime Total Number of Incidents (in 7 Crime Categories),2014,Feb,2438
Crime Total Number of Incidents (in 7 Crime Categories),2014,Mar,2706
Crime Total Number of Incidents (in 7 Crime Categories),2014,Apr,2733
Crime Total Number of Incidents (in 7 Crime Categories),2014,May,3087
Crime Total Number of Incidents (in 7 Crime Categories),2014,Jun,2992
Crime Total Number of Incidents (in 7 Crime Categories),2014,Jul,2907
Crime Total Number of Incidents (in 7 Crime Categories),2014,Aug,3012
Crime Total Number of Incidents (in 7 Crime Categories),2014,Sep,3096
Crime Total Number of Incidents (in 7 Crime Categories),2014,Oct,3168
Crime Total Number of Incidents (in 7 Crime Categories),2014,Nov,3065
Crime Total Number of Incidents (in 7 Crime Categories),2014,Dec,2680
Crime Total Number of Incidents (in 7 Crime Categories),2015,Jan,2685
Crime Total Number of Incidents (in 7 Crime Categories),2015,Feb,2257
Crime Total Number of Incidents (in 7 Crime Categories),2015,Mar,2663
Crime Total Number of Incidents (in 7 Crime Categories),2015,Apr,2858
Crime Total Number of Incidents (in 7 Crime Categories),2015,May,3099
Crime Total Number of Incidents (in 7 Crime Categories),2015,Jun,3064
Crime Total Number of Incidents (in 7 Crime Categories),2015,Jul,3152
Crime Total Number of Incidents (in 7 Crime Categories),2015,Aug,3144
Crime Total Number of Incidents (in 7 Crime Categories),2015,Sep,3083
Crime Total Number of Incidents (in 7 Crime Categories),2015,Oct,3085
Crime Total Number of Incidents (in 7 Crime Categories),2015,Nov,3107
Crime Total Number of Incidents (in 7 Crime Categories),2015,Dec,2929
Crime Total Number of Incidents (in 7 Crime Categories),2016,Jan,2854
Crime Total Number of Incidents (in 7 Crime Categories),2016,Feb,2623
Crime Total Number of Incidents (in 7 Crime Categories),2016,Mar,2950
Crime Total Number of Incidents (in 7 Crime Categories),2016,Apr,2948
Crime Total Number of Incidents (in 7 Crime Categories),2016,May,3017
Crime Total Number of Incidents (in 7 Crime Categories),2016,Jun,3119
Crime Total Number of Incidents (in 7 Crime Categories),2016,Jul,3164
Crime Total Number of Incidents (in 7 Crime Categories),2016,Aug,3006
Crime Total Number of Incidents (in 7 Crime Categories),2016,Sep,3017
Crime Total Number of Incidents (in 7 Crime Categories),2016,Oct,3123
Crime Total Number of Incidents (in 7 Crime Categories),2016,Nov,3061
Crime Total Number of Incidents (in 7 Crime Categories),2016,Dec,2822
Crime Total Number of Incidents (in 7 Crime Categories),2017,Jan,2834
Crime Total Number of Incidents (in 7 Crime Categories),2017,Feb,2632
Crime Total Number of Incidents (in 7 Crime Categories),2017,Mar,2925
Crime Total Number of Incidents (in 7 Crime Categories),2017,Apr,3123
Crime Total Number of Incidents (in 7 Crime Categories),2017,May,3129
Crime Total Number of Incidents (in 7 Crime Categories),2017,Jun,3151
Crime Total Number of Incidents (in 7 Crime Categories),2017,Jul,3415
Crime Total Number of Incidents (in 7 Crime Categories),2017,Aug,3262
Crime Total Number of Incidents (in 7 Crime Categories),2017,Sep,3165
Crime Total Number of Incidents (in 7 Crime Categories),2017,Oct,3332
Crime Total Number of Incidents (in 7 Crime Categories),2017,Nov,3419
Crime Total Number of Incidents (in 7 Crime Categories),2017,Dec,3006
Crime Total Number of Incidents (in 7 Crime Categories),2018,Jan,3224
Crime Total Number of Incidents (in 7 Crime Categories),2018,Feb,2884
Crime Total Number of Incidents (in 7 Crime Categories),2018,Mar,3221
Crime Total Number of Incidents (in 7 Crime Categories),2018,Apr,3084
Crime Total Number of Incidents (in 7 Crime Categories),2018,May,3637
Crime Total Number of Incidents (in 7 Crime Categories),2018,Jun,3354
Crime Total Number of Incidents (in 7 Crime Categories),2018,Jul,3305
Crime Total Number of Incidents (in 7 Crime Categories),2018,Aug,3492
Crime Total Number of Incidents (in 7 Crime Categories),2018,Sep,3212
Crime Total Number of Incidents (in 7 Crime Categories),2018,Oct,3611
Crime Total Number of Incidents (in 7 Crime Categories),2018,Nov,3581
Crime Total Number of Incidents (in 7 Crime Categories),2018,Dec,3357
Crime Total Number of Incidents (in 7 Crime Categories),2019,Jan,3222
