Measure Name,Year,Period,Value
Number of Personal Bankruptcies (Ontario),2018,Sep,1166
Number of Personal Bankruptcies (Ontario),2018,Oct,1292
Number of Personal Bankruptcies (Ontario),2018,Nov,1212
Number of Personal Bankruptcies (Ontario),2018,Dec,1083
Number of Personal Bankruptcies (Ontario),2019,Jan,1004
Number of Personal Bankruptcies (Ontario),2019,Feb,1026
Number of Personal Bankruptcies (Ontario),2019,Mar,1234
Number of Personal Bankruptcies (Ontario),2019,Apr,1287
Number of Personal Bankruptcies (Ontario),2019,May,1456
Number of Personal Bankruptcies (Ontario),2019,Jun,1220
Number of Personal Bankruptcies (Ontario),2019,Jul,1255
Number of Personal Bankruptcies (Ontario),2019,Aug,1227
Number of Personal Bankruptcies (Ontario),2019,Sep,1256
Number of Personal Bankruptcies (Ontario),2019,Oct,1308
Number of Personal Bankruptcies (Ontario),2019,Nov,1158
Number of Personal Bankruptcies (Ontario),2019,Dec,1146
Number of Personal Bankruptcies (Ontario),2020,Jan,1063
Number of Personal Bankruptcies (Ontario),2020,Feb,1011
Number of Personal Bankruptcies (Ontario),2020,Mar,1061
Number of Personal Bankruptcies (Ontario),2020,Apr,637
Number of Personal Bankruptcies (Ontario),2020,May,592
Number of Personal Bankruptcies (Ontario),2020,Jun,654
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2007,Jan,0.0029
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2007,Feb,0.003
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2007,Mar,0.003
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2007,Apr,0.003
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2007,May,0.0029
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2007,Jun,0.0029
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2007,Jul,0.003
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2007,Aug,0.003
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2007,Sep,0.0032
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2007,Oct,0.0032
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2007,Nov,0.0032
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2007,Dec,0.003
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2008,Jan,0.0031
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2008,Feb,0.0031
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2008,Mar,0.0031
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2008,Apr,0.003
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2008,May,0.003
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2008,Jun,0.003
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2008,Jul,0.003
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2008,Aug,0.0031
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2008,Sep,0.0031
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2008,Oct,0.0032
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2008,Nov,0.0034
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2008,Dec,0.0036
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2009,Jan,0.0039
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2009,Feb,0.0041
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2009,Mar,0.0041
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2009,Apr,0.0042
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2009,May,0.0043
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2009,Jun,0.0043
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2009,Jul,0.0043
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2009,Aug,0.0043
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2009,Sep,0.0043
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2009,Oct,0.0042
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2009,Nov,0.0042
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2009,Dec,0.0042
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2010,Jan,0.0042
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2010,Feb,0.0042
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2010,Mar,0.004
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2010,Apr,0.0039
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2010,May,0.0035
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2010,Jun,0.0037
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2010,Jul,0.0037
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2010,Aug,0.0036
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2010,Sep,0.0035
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2010,Oct,0.0035
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2010,Nov,0.0035
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2010,Dec,0.0036
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2011,Jan,0.0037
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2011,Feb,0.0036
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2011,Mar,0.0034
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2011,Apr,0.0034
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2011,May,0.0032
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2011,Jun,0.0031
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2011,Jul,0.0031
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2011,Aug,0.003
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2011,Sep,0.003
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2011,Oct,0.0029
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2011,Nov,0.0028
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2011,Dec,0.0028
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2012,Jan,0.0028
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2012,Feb,0.0027
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2012,Mar,0.0026
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2012,Apr,0.0024
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2012,May,0.0023
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2012,Jun,0.0022
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2012,Jul,0.0022
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2012,Aug,0.0021
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2012,Sep,0.0022
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2012,Oct,0.0021
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2012,Nov,0.0021
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2012,Dec,0.0022
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2013,Jan,0.0022
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2013,Feb,0.0022
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2013,Mar,0.0021
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2013,Apr,0.002
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2013,May,0.002
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2013,Jun,0.002
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2013,Jul,0.0019
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2013,Aug,0.002
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2013,Sep,0.002
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2013,Oct,0.002
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2013,Nov,0.002
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2013,Dec,0.0021
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2014,Jan,0.0021
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2014,Feb,0.0021
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2014,Mar,0.0019
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2014,Apr,0.0019
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2014,May,0.0018
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2014,Jun,0.0018
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2014,Jul,0.0018
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2014,Aug,0.0018
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2014,Sep,0.0018
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2014,Oct,0.0017
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2014,Nov,0.0017
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2014,Dec,0.0017
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2015,Jan,0.0018
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2015,Feb,0.0018
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2015,Mar,0.0017
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2015,Apr,0.0016
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2015,May,0.0016
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2015,Jun,0.0015
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2015,Jul,0.0015
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2015,Aug,0.0015
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2015,Sep,0.0015
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2015,Oct,0.0015
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2015,Nov,0.0013
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2015,Dec,0.0014
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2016,Jan,0.0015
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2016,Feb,0.0015
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2016,Mar,0.0014
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2016,Apr,0.0014
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2016,May,0.0014
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2016,Jun,0.0013
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2016,Jul,0.0013
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2016,Aug,0.0014
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2016,Sep,0.0013
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2016,Oct,0.0013
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2016,Nov,0.0012
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2016,Dec,0.0012
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2017,Jan,0.0012
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2017,Feb,0.0012
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2017,Mar,0.0012
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2017,Apr,0.0011
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2017,May,0.0011
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2017,Jun,0.001
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2017,Jul,0.001
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2017,Aug,0.001
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2017,Sep,0.001
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2017,Oct,0.001
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2017,Nov,0.0009
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2017,Dec,0.001
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2018,Jan,0.001
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2018,Feb,0.001
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2018,Mar,0.001
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2018,Apr,0.0009
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2018,May,0.0009
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2018,Jun,0.0009
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2018,Jul,0.0009
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2018,Aug,0.0009
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2018,Sep,0.0009
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2018,Oct,0.0009
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2018,Nov,0.0009
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2018,Dec,0.001
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2019,Jan,0.001
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2019,Feb,0.001
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2019,Mar,0.0009
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2019,Apr,0.0009
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2019,May,0.0009
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2019,Jun,0.0009
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2019,Jul,0.0009
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2019,Aug,0.0009
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2019,Sep,0.0009
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2019,Oct,0.0009
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2019,Nov,0.0009
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2019,Dec,0.0009
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2020,Jan,0.0009
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2020,Feb,0.0009
Percentage of Ontario Residential Mortgages in Arrears (3 months or more)(%),2020,Mar,0.0009
Food Bank Usage ,2007,Jan,51428
Food Bank Usage ,2007,Feb,48163
Food Bank Usage ,2007,Mar,56092
Food Bank Usage ,2007,Apr,51555
Food Bank Usage ,2007,May,57977
Food Bank Usage ,2007,Jun,54200
Food Bank Usage ,2007,Jul,56776
Food Bank Usage ,2007,Aug,58353
Food Bank Usage ,2007,Sep,55238
Food Bank Usage ,2007,Oct,56870
Food Bank Usage ,2007,Nov,59633
Food Bank Usage ,2007,Dec,48756
Food Bank Usage ,2008,Jan,58786
Food Bank Usage ,2008,Feb,54487
Food Bank Usage ,2008,Mar,58322
Food Bank Usage ,2008,Apr,63400
Food Bank Usage ,2008,May,60700
Food Bank Usage ,2008,Jun,58700
Food Bank Usage ,2008,Jul,61300
Food Bank Usage ,2008,Aug,56700
Food Bank Usage ,2008,Sep,60300
Food Bank Usage ,2008,Oct,67500
Food Bank Usage ,2008,Nov,66600
Food Bank Usage ,2008,Dec,61100
Food Bank Usage ,2009,Jan,64900
Food Bank Usage ,2009,Feb,65800
Food Bank Usage ,2009,Mar,71400
Food Bank Usage ,2009,Apr,72000
Food Bank Usage ,2009,May,71600
Food Bank Usage ,2009,Jun,72900
Food Bank Usage ,2009,Jul,76300
Food Bank Usage ,2009,Aug,70000
Food Bank Usage ,2009,Sep,75400
Food Bank Usage ,2009,Oct,77900
Food Bank Usage ,2009,Nov,75000
Food Bank Usage ,2009,Dec,67000
Food Bank Usage ,2010,Jan,69200
Food Bank Usage ,2010,Feb,71800
Food Bank Usage ,2010,Mar,72700
Food Bank Usage ,2010,Apr,70000
Food Bank Usage ,2010,May,67700
Food Bank Usage ,2010,Jun,68300
Food Bank Usage ,2010,Jul,59600
Food Bank Usage ,2010,Aug,60000
Food Bank Usage ,2010,Sep,70000
Food Bank Usage ,2010,Oct,67300
Food Bank Usage ,2010,Nov,70000
Food Bank Usage ,2010,Dec,68600
Food Bank Usage ,2011,Jan,62000
Food Bank Usage ,2011,Feb,61600
Food Bank Usage ,2011,Mar,68600
Food Bank Usage ,2011,Apr,62400
Food Bank Usage ,2011,May,64100
Food Bank Usage ,2011,Jun,64400
Food Bank Usage ,2011,Jul,59100
Food Bank Usage ,2011,Aug,64600
Food Bank Usage ,2011,Sep,67600
Food Bank Usage ,2011,Oct,67700
Food Bank Usage ,2011,Nov,73200
Food Bank Usage ,2011,Dec,68900
Food Bank Usage ,2012,Jan,69800
Food Bank Usage ,2012,Feb,67700
Food Bank Usage ,2012,Mar,69900
Food Bank Usage ,2012,Apr,64500
Food Bank Usage ,2012,May,71000
Food Bank Usage ,2012,Jun,63700
Food Bank Usage ,2012,Jul,65000
Food Bank Usage ,2012,Aug,66000
Food Bank Usage ,2012,Sep,60000
Food Bank Usage ,2012,Oct,66300
Food Bank Usage ,2012,Nov,68400
Food Bank Usage ,2012,Dec,54200
Food Bank Usage ,2013,Jan,63600
Food Bank Usage ,2013,Feb,57300
Food Bank Usage ,2013,Mar,63700
Food Bank Usage ,2013,Apr,61300
Food Bank Usage ,2013,May,63700
Food Bank Usage ,2013,Jun,57100
Food Bank Usage ,2013,Jul,58800
Food Bank Usage ,2013,Aug,58400
Food Bank Usage ,2013,Sep,56700
Food Bank Usage ,2013,Oct,62700
Food Bank Usage ,2013,Nov,57200
Food Bank Usage ,2013,Dec,54500
Food Bank Usage ,2014,Jan,56300
Food Bank Usage ,2014,Feb,54800
Food Bank Usage ,2014,Mar,59200
Food Bank Usage ,2014,Apr,64000
Food Bank Usage ,2014,May,65000
Food Bank Usage ,2014,Jun,58700
Food Bank Usage ,2014,Jul,63420
Food Bank Usage ,2014,Aug,58250
Food Bank Usage ,2014,Sep,61400
Food Bank Usage ,2014,Oct,59600
Food Bank Usage ,2014,Nov,61700
Food Bank Usage ,2014,Dec,54600
Food Bank Usage ,2015,Jan,55720
Food Bank Usage ,2015,Feb,54290
Food Bank Usage ,2015,Mar,61350
Food Bank Usage ,2015,Apr,61880
Food Bank Usage ,2015,May,60280
Food Bank Usage ,2015,Jun,60730
Food Bank Usage ,2015,Jul,60240
Food Bank Usage ,2015,Aug,57440
Food Bank Usage ,2015,Sep,58860
Food Bank Usage ,2015,Oct,64700
Food Bank Usage ,2015,Nov,62200
Food Bank Usage ,2015,Dec,60300
Food Bank Usage ,2016,Jan,59775
Food Bank Usage ,2016,Feb,60771
Food Bank Usage ,2016,Mar,72329
Food Bank Usage ,2016,Apr,67520
Food Bank Usage ,2016,May,68260
Food Bank Usage ,2016,Jun,70720
Food Bank Usage ,2016,Jul,59220
Food Bank Usage ,2016,Aug,68710
Food Bank Usage ,2016,Sep,68420
Food Bank Usage ,2016,Oct,65160
Food Bank Usage ,2016,Nov,71665
